DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-03-24,15:30:00,23:30:00,08:50:05,20:29:29,,180.5,37.6
2022-03-24,23:30:00,07:30:00,08:51:07,20:27:48,2022-03-25 08:51:07,480,100
2022-03-25,07:30:00,15:30:00,08:51:07,20:27:48,,81.1,16.9
2022-03-25,15:30:00,23:30:00,08:51:07,20:27:48,,182.2,38.0
2022-03-25,23:30:00,07:30:00,08:52:10,20:26:08,2022-03-26 08:52:10,480,100
2022-03-26,07:30:00,15:30:00,08:52:10,20:26:08,,82.2,17.1
2022-03-26,15:30:00,23:30:00,08:52:10,20:26:08,,183.9,38.3
2022-03-26,23:30:00,07:30:00,08:53:13,20:24:27,2022-03-27 08:53:13,480,100
2022-03-27,07:30:00,15:30:00,08:53:13,20:24:27,,83.2,17.3
2022-03-27,15:30:00,23:30:00,08:53:13,20:24:27,,185.6,38.7
2022-03-27,23:30:00,07:30:00,08:54:15,20:22:47,2022-03-28 08:54:15,480,100
2022-03-28,07:30:00,15:30:00,08:54:15,20:22:47,,84.3,17.6
2022-03-28,15:30:00,23:30:00,08:54:15,20:22:47,,187.2,39.0
2022-03-28,23:30:00,07:30:00,08:55:18,20:21:07,2022-03-29 08:55:18,480,100
2022-03-29,07:30:00,15:30:00,08:55:18,20:21:07,,85.3,17.8
2022-03-29,15:30:00,23:30:00,08:55:18,20:21:07,,188.9,39.4
2022-03-29,23:30:00,07:30:00,08:56:20,20:19:27,2022-03-30 08:56:20,480,100
2022-03-30,07:30:00,15:30:00,08:56:20,20:19:27,,86.3,18.0
2022-03-30,15:30:00,23:30:00,08:56:20,20:19:27,,190.6,39.7
2022-03-30,23:30:00,07:30:00,08:57:22,20:17:48,2022-03-31 08:57:22,480,100
2022-03-31,07:30:00,15:30:00,08:57:22,20:17:48,,87.4,18.2
2022-03-31,15:30:00,23:30:00,08:57:22,20:17:48,,192.2,40.0
2022-03-31,23:30:00,07:30:00,08:58:25,20:16:09,2022-04-01 08:58:25,480,100
2022-04-01,07:30:00,15:30:00,08:58:25,20:16:09,,88.4,18.4
2022-04-01,15:30:00,23:30:00,08:58:25,20:16:09,,193.9,40.4
